ensemble_id,cluster_id
ENSG00000152104,30
ENSG00000188542,17
ENSG00000197019,12
ENSG00000136247,37
ENSG00000159307,5
ENSG00000198000,12
ENSG00000047634,39
ENSG00000120690,17
ENSG00000153093,4
ENSG00000124151,0
ENSG00000185274,43
ENSG00000256618,9
ENSG00000136003,10
ENSG00000174206,3
ENSG00000125386,25
ENSG00000160961,39
ENSG00000250312,12
ENSG00000126775,22
ENSG00000102981,18
ENSG00000140577,30
ENSG00000163798,14
ENSG00000164885,20
ENSG00000078900,13
ENSG00000019549,13
ENSG00000205835,15
ENSG00000008853,3
ENSG00000139220,37
ENSG00000132481,40
ENSG00000197093,11
ENSG00000141562,17
ENSG00000176386,24
ENSG00000154188,31
ENSG00000106069,4
ENSG00000080371,3
ENSG00000055950,33
ENSG00000170946,7
ENSG00000225614,20
ENSG00000072682,40
ENSG00000198792,24
ENSG00000141429,16
ENSG00000166143,23
ENSG00000147162,39
ENSG00000099994,5
ENSG00000197859,8
ENSG00000185958,23
ENSG00000081760,33
ENSG00000164073,12
ENSG00000145824,45
ENSG00000114302,10
ENSG00000141524,43
ENSG00000140718,16
ENSG00000168876,39
ENSG00000173239,4
ENSG00000159713,8
ENSG00000133872,42
ENSG00000129167,35
ENSG00000112494,4
ENSG00000110237,31
ENSG00000115275,26
ENSG00000185303,18
ENSG00000086717,27
ENSG00000259330,10
ENSG00000197162,22
ENSG00000126254,17
ENSG00000087111,9
ENSG00000122477,22
ENSG00000177679,40
ENSG00000171813,7
ENSG00000103044,13
ENSG00000176428,3
ENSG00000204498,21
ENSG00000135912,14
ENSG00000136960,5
ENSG00000170962,28
ENSG00000178719,7
ENSG00000185627,30
ENSG00000138018,10
ENSG00000149792,9
ENSG00000103365,4
ENSG00000141101,33
ENSG00000128272,17
ENSG00000185666,4
ENSG00000078081,36
ENSG00000162704,32
ENSG00000165309,46
ENSG00000137878,14
ENSG00000166734,10
ENSG00000196943,25
ENSG00000125652,17
ENSG00000104320,10
ENSG00000149716,23
ENSG00000139190,41
ENSG00000132002,22
ENSG00000198799,12
ENSG00000143797,4
ENSG00000145242,15
ENSG00000145321,4
ENSG00000159346,3
ENSG00000164236,31
ENSG00000120656,22
ENSG00000116237,9
ENSG00000248771,34
ENSG00000115165,11
ENSG00000102760,8
ENSG00000154059,16
ENSG00000006576,26
ENSG00000100014,38
ENSG00000213463,34
ENSG00000163219,11
ENSG00000265972,4
ENSG00000039600,30
ENSG00000141401,4
ENSG00000110987,2
ENSG00000125952,0
ENSG00000117758,23
ENSG00000197256,31
ENSG00000187492,46
ENSG00000272886,0
ENSG00000143633,24
ENSG00000136274,6
ENSG00000169435,43
ENSG00000185985,35
ENSG00000102103,17
ENSG00000177951,26
ENSG00000137574,33
ENSG00000107290,0
ENSG00000196449,14
ENSG00000109881,22
ENSG00000148362,17
ENSG00000115263,15
ENSG00000133226,32
ENSG00000108389,0
ENSG00000101298,35
ENSG00000118894,26
ENSG00000100221,47
ENSG00000147862,27
ENSG00000171385,32
ENSG00000042445,9
ENSG00000106560,36
ENSG00000114030,32
ENSG00000197479,24
ENSG00000130038,15
ENSG00000138092,43
ENSG00000134690,19
ENSG00000104064,43
ENSG00000175324,42
ENSG00000169738,33
ENSG00000147100,28
ENSG00000198723,24
ENSG00000137996,14
ENSG00000078246,0
ENSG00000006025,38
ENSG00000115423,46
ENSG00000042062,6
ENSG00000133424,43
ENSG00000145936,6
